"","subjectID","StartDate","LocationLatitude","LocationLongitude","gender","age","education","ethnicity","father_education","mother_education","marital_status","employment_status","children_1","income","parents_income","net_worth","parents_net_worth","housing_status","macarthur_sss","macarthur_sss_parent","job","accomplishments","weight","height","bmi","sat_score","gre_score_verbal","gre_score_quant","gpa_highschool","gpa_undergrad"
"93",93,"2021-10-28 16:53:53","43.8112945556640625","-79.1880035400390625","Male","18","High school degree or equivalent (e.g. GED)","Other","Some college, no degree","Less than a high school diploma","Single (never married)","Student","0","Less than $10,000","$70,000 to $79,999","Less than $10,000","$250,000 to $499,999","Live with family","2","5","Student","1st in many sports events, MVP awards, Honour/Scholar","145",177.8,20.8488357607513,NA,NA,NA,"11",NA
"94",94,"2021-10-28 17:27:58","43.8112945556640625","-79.1880035400390625","Other","18","High school degree or equivalent (e.g. GED)","Asian","Bachelor's degree (e.g. BA, BS)","Master's degree (e.g. MA, MS, MEd)","Single (never married)","Student","0","Less than $10,000","$100,000 to $149,999","Less than $10,000","$500,000 to $1 million","Live with family","4","5","student","being someone's bisexual awakening, being able to communicate with my dad in a healthy way","97",157.48,17.7786279326224,NA,NA,NA,"11",NA
"95",95,"2021-10-28 17:55:52","43.669403076171875","-79.40180206298828125","Male","18","High school degree or equivalent (e.g. GED)","Asian","Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","Less than $10,000","$100,000 to $149,999","$10,000 to $19,999","$30,000 to $39,999","Live with family","4","3","Student","Ontario scholar, honor roll for all 4 years of secondary school","130",182.88,17.6680347749023,NA,NA,NA,"12",NA
"96",96,"2021-10-28 14:46:38","43.6399993896484375","-79.4329986572265625","Female","21","High school degree or equivalent (e.g. GED)","Asian","High school degree or equivalent (e.g. GED)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Employed part time (up to 39 hours per week)","0","$10,000 to $19,999","$80,000 to $89,999","Less than $10,000",NA,"Live with family","8","3","Cashier","university admission","120",NA,NA,NA,NA,NA,"12",NA
"97",97,"2021-10-28 17:16:09","43.88409423828125","-79.060699462890625","Female","19","High school degree or equivalent (e.g. GED)","Asian","High school degree or equivalent (e.g. GED)","High school degree or equivalent (e.g. GED)","Single (never married)","Student","0","Less than $10,000","$60,000 to $69,999","Less than $10,000","$1 million to $2 million","Live with family","6","7","student","maintained honour roll all throughout high school","144",172.72,21.9409057880714,NA,NA,NA,"10",NA
"98",98,"2021-10-28 16:57:09","43.878997802734375","-79.26380157470703125","Male","18","High school degree or equivalent (e.g. GED)","Asian","Master's degree (e.g. MA, MS, MEd)","Master's degree (e.g. MA, MS, MEd)","Single (never married)","Student","0","Less than $10,000","$70,000 to $79,999","Less than $10,000","$500,000 to $1 million","Live with family","1","6","Student","Honour Roll","154",NA,NA,"1500",NA,NA,"13",NA
"99",99,"2021-10-28 17:47:27","43.6638031005859375","-79.39990234375","Female","18","High school degree or equivalent (e.g. GED)","White","High school degree or equivalent (e.g. GED)","Master's degree (e.g. MA, MS, MEd)","Single (never married)","Student","0","Less than $10,000","$70,000 to $79,999","$60,000 to $69,999","$80,000 to $89,999","Live with family","7","6","student","Grade 8 valedictorian, scholarships from school,","164",162.56,28.2093959074282,NA,NA,NA,"11",NA
"100",100,"2021-10-28 18:17:09","43.701202392578125","-79.38770294189453125","Male","20","High school degree or equivalent (e.g. GED)","Asian","Less than a high school diploma","Less than a high school diploma","Single (never married)","Student","0","Less than $10,000","$100,000 to $149,999","$50,000 to $59,999",NA,"Rent","6","8","student","Ran 40 kilometers in a month, squatted 135 lbs,  reached immortal 3 (rank) in valorant (game) , annual GPA greater than 3.0 (4 scale).","165",170.18,25.8966880152517,NA,NA,NA,"13",NA
"101",101,"2021-10-28 18:06:23","43.6575927734375","-79.37979888916015625","Female","18","High school degree or equivalent (e.g. GED)","Asian","Master's degree (e.g. MA, MS, MEd)","Master's degree (e.g. MA, MS, MEd)","Single (never married)","Student","0","$50,000 to $59,999","$40,000 to $49,999","Less than $10,000","$2 million to $5 million","Live with family","5","5","student","finished a dance","99",165.1,16.5089087574625,"7",NA,NA,"11",NA
"102",102,"2021-10-28 20:00:58","43.6638031005859375","-79.39990234375","Female","18","High school degree or equivalent (e.g. GED)","Asian","Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","Less than $10,000","$40,000 to $49,999","Less than $10,000","$250,000 to $499,999","Other","6","6","Student","Getting into a prestigious high school, getting a scholarship for university","110",160.02,19.5263681028748,"1490",NA,NA,"12",NA
